K,sample,greedy_time,brute_time,greedy_caught,brute_caught,greedy_police,greedy_rookie,brute_police,brute_rookie
1,2.0,3.6716461181640625e-05,4.53948974609375e-05,10.2,10.2,9.2,1.0,9.2,1.0
2,2.0,3.4856796264648435e-05,4.701614379882812e-05,11.8,12.4,11.2,0.6,11.2,1.2
3,2.0,3.8051605224609374e-05,5.8031082153320314e-05,15.2,15.4,14.8,0.4,14.8,0.6
4,2.0,3.561973571777344e-05,5.116462707519531e-05,16.0,16.4,15.8,0.2,15.8,0.6
5,2.0,3.557205200195312e-05,5.4168701171875e-05,16.2,17.0,16.0,0.2,16.0,1.0
6,2.0,3.361701965332031e-05,4.825592041015625e-05,15.2,15.4,15.0,0.2,15.0,0.4
7,2.0,3.16619873046875e-05,4.835128784179688e-05,16.8,17.2,16.6,0.2,16.6,0.6
