K,sample,greedy_time,brute_time,greedy_caught,brute_caught,greedy_police,greedy_rookie,brute_police,brute_rookie
1,2.0,3.9625167846679685e-05,6.084442138671875e-05,10.2,10.6,9.4,0.8,9.4,1.2
2,2.0,3.7097930908203124e-05,4.8732757568359376e-05,10.2,10.4,9.4,0.8,9.4,1.0
3,2.0,3.3235549926757814e-05,4.897117614746094e-05,14.4,15.0,14.2,0.2,14.2,0.8
4,2.0,3.495216369628906e-05,5.1069259643554685e-05,17.2,17.2,16.6,0.6,16.6,0.6
5,2.0,3.47137451171875e-05,5.2928924560546875e-05,16.4,16.8,16.2,0.2,16.2,0.6
6,2.0,3.8051605224609374e-05,5.660057067871094e-05,18.4,18.8,18.0,0.4,18.0,0.8
7,2.0,3.5381317138671876e-05,5.502700805664063e-05,18.0,18.0,17.8,0.2,17.8,0.2
