K,sample,greedy_time,brute_time,greedy_caught,brute_caught,greedy_police,greedy_rookie,brute_police,brute_rookie
1,2.0,3.7622451782226565e-05,4.9448013305664064e-05,12.0,12.2,11.6,0.4,11.6,0.6
2,2.0,3.404617309570313e-05,4.69207763671875e-05,12.8,13.2,12.4,0.4,12.4,0.8
3,2.0,3.54766845703125e-05,4.796981811523437e-05,14.6,14.6,14.6,0.0,14.6,0.0
4,2.0,3.1375885009765624e-05,4.649162292480469e-05,15.2,15.8,14.8,0.4,14.8,1.0
5,2.0,3.1614303588867186e-05,4.8542022705078124e-05,14.4,15.0,14.2,0.2,14.2,0.8
6,2.0,3.7670135498046875e-05,0.00010380744934082031,16.0,16.8,15.4,0.6,15.4,1.4
7,2.0,3.218650817871094e-05,5.078315734863281e-05,16.6,16.8,16.4,0.2,16.4,0.4
